Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
ASCAQU064FS0005M,03/01/2020,Activité sportive,Alaia Surf Club,,Plage d'Ilbarritz,,,64210,BIDART,64125,,+33 6 88 14 04 22,contact@alaiasurfclub.com,http://www.alaiasurfclub.com,-1.5778683999999998,43.4601773,Oui,"
",Surf # Surf # Surf # Surf # Surf,,,Handi Surf,,Tarif de base|||Cours Kids # Tarif de base|||Cours Collectifs # Tarif de base|||Cours particuliers ,,,,
ASCAQU033FS00153,03/01/2020,Activité sportive,Alex Kite School,,,Route de Biscarrosse,Plage de la Salie,33115,LA TESTE-DE-BUCH,33529,,+33 6 08 88 66 31,info@alexkite.com,http://www.alexkite.com,-1.1354903,44.6157609,Oui,"
",Kite-surf # Kite-surf # Kite-surf # Kite-surf,,,Ecole Française de Kite,13/01/2020|20/12/2020|||||,"Tarif de base|175,00||Stage collectif de découverte (6h)",,,,
ASCAQU040V50DQES,22/01/2020,Activité sportive,Alizé Arnaud Surf School,,,3 Avenue de Biarritz,,40130,CAPBRETON,40065,,+33 6 74 56 54 41,contact@alizearnaudsurfschool.com,https://www.alizearnaudsurfschool.com,-1.4406586000000001,43.6453596,Oui,"
",Surf # Bodyboard,,,,,,,,,
ASCAQU033FS000TL,03/01/2020,Activité sportive,Alizés 33,,,14 quai Capitaine Allègre,,33120,ARCACHON,33009,+33 5 56 83 75 47,+33 6 50 99 84 27,contact@alizes33.com,http://www.alizes33.com ,-1.1441807,44.656624900000004,,"
",Motonautisme (bateau à moteur),,,,01/01/2020|31/12/2020|||||,,,,,
ASCAQU04001WV7JI,03/01/2020,Activité sportive,Alizés Speed Biscarrosse Olympique,,Poste de secours,Esplanade Plage Centrale,,40600,BISCARROSSE,40046,,+33 6 85 63 82 98,contact@alizes-speed.com,http://www.alizes-speed.com,-1.2569689,44.4446575,Oui,"
",Char à voile,,,,01/10/2019|31/05/2020|||||,,,,Parking,
ASCAQU040V50GY73,03/01/2020,Activité sportive,"All Water - Lac - Kayak, Pédalo","Route du Bourg, près du camping du lac - Aureilhan",,Avenue de Woolsack - Mimizan,,40200,AUREILHAN,40019,,+33 6 66 14 98 44,contact@allwater.fr,http://www.allwater.fr,-1.2299235,44.220043100000005,Non,"
",Stand-up-paddle-board # Canoé kayak # Yoga,,,,01/04/2020|30/06/2020|09:00|18:00||| # 01/07/2020|31/08/2020|10:00|19:30||| # 01/09/2020|31/10/2020|09:00|18:00|||,Tarif de base|||Stand up paddle Giant ( 4 - 8 places) - 30 min à 1 heure # Tarif de groupe|||sur devis # Tarif de base|||Kayak 1 place - de 30 min à 2 heures # Tarif de base|||Pédalo avec ou sans toboggan - de 30 min à 2 heures # Tarif de groupe|||nous contacter,,,Espace jeux # Parking # Restauration,
ASCAQU040V50KFU6,03/01/2020,Activité sportive,All Water - Paddle Plage au Courant,,,2 avenue de l'océan,,40200,MIMIZAN PLAGE,40184,,+33 6 66 14 98 44,contact@allwater.fr,http://allwater.fr,-1.3003924,44.2058088,Oui,"
",Stand-up-paddle-board # Stand-up-paddle-board,,,,05/07/2020|31/08/2020|||||,Tarif de base|||Location 1h (15€) et 2h (25€) // Cours 1h 20€/pers # Tarif de groupe|||sur devis # Tarif réduit|||tarif famille : 10% de réduction sur les cours à partir de 4 pers,,,Parking,
ASCAQU040V50GY7L,03/01/2020,Activité sportive,All Water - Wave Ski,,,"Plage Sud, avenue de l'océan",,40200,MIMIZAN PLAGE,40184,,+33 6 66 14 98 44,contact@allwater.fr,http://allwater.fr,-1.3003924,44.2058088,Oui,"
",Wave-ski # Wave-ski # Wave-ski # Stand-up-paddle-board,,,,01/04/2020|30/06/2020|09:00|18:00||| # 01/07/2020|31/08/2020|10:30|12:30|14:30|19:00| # 01/09/2020|31/10/2020|09:00|18:00|||,Tarif de base|||20€ par personne # Tarif de groupe|||sur devis # Tarif de base|||Cours 1 séance : 20€ / Stage 3 séances : 50€ / Stage 5 séances : 75€ /  # Tarif réduit|||tarif famille -10% à partir de 4 pers,,,Parking # Restauration,
ASCAQU040V50GY94,03/01/2020,Activité sportive,"All Water Mimizan -Paddle, Kayak, Pédalo",Berges du lac- avenue de Woolsack,derrière le camping du Lac,,,40200,MIMIZAN,40184,,+33 6 66 14 98 44,contact@allwater.fr,http://allwater.fr,-1.2238447000000001,44.218562299999995,Oui,"
",Canoé kayak # Stand-up-paddle-board,,,,05/07/2020|28/07/2020|13:00|19:00||| # 29/07/2020|31/08/2020|11:00|19:00|||,Tarif de base|||de 10€ à 30€ selon le type d'embarcation et la durée de location # Tarif de groupe|||sur devis # Tarif de base|||Kayak 2 - 3 places - 30 min à 2 heures # Tarif de base|||pédalos - 30 min à 2 heures,,,,
ASCAQU033V50UAQ4,03/02/2020,Activité sportive,Allo à l'eau,,,Débarcadère du Cap Ferret,Cap Ferret,33970,LEGE-CAP-FERRET,33236,,+33 6 33 33 21 21,alloaleau@gmail.com,http://www.bateau-taxi-arcachon.com,-1.229596,44.698421,Non,"
",Motonautisme (bateau à moteur),,,,01/04/2020|15/11/2020|||||,,,,,
ASCAQU033V503JZ8,03/01/2020,Activité sportive,Allo à l'eau location de Beacher avec Skipper,,,Port d'Arcachon,Traque 15,33120,ARCACHON,33009,,+33 6 33 33 21 21,alloaleau@gmail.com,,-1.1480712,44.6585191,Oui,"
",Motonautisme (bateau à moteur),,,,01/04/2020|30/09/2020|||||,,,,,
ASCAQU040V5031CW,03/01/2020,Activité sportive,Alternative Surf School,,Résidence la plage,Rue des Goélands,,40480,VIEUX-BOUCAU,40328,,+33 6 03 06 06 42,info@alternativesurfschool.com,http://alternativesurfschool.com,-1.4117766,43.7866784,Oui,"
",Surf,,,Ecole Française de Surf,01/04/2020|01/11/2020|||||,Tarif de base|||1 cours # Tarif de base|||5 cours,,,,
ASCAQU064FS000FN,07/01/2020,Activité sportive,Anglet Olympique Canoë Kayak,,Kiosque du skatepark,Plage de La Barre,,64600,ANGLET,64024,,,aock64@yahoo.fr,https://www.facebook.com/aock.anglet,-1.5226846,43.526280799999995,Oui,"
",Kayak de mer # Kayak de mer # Wave-ski # Wave-ski,,,,01/01/2020|31/12/2020|||||,"Tarif de base|30,00||Kayak de mer (1h30)",,,,
ASCAQU064V58AFVZ,31/01/2020,Activité sportive,Anglet Surf Océan,,5 place des Docteurs Gentilhe,,,64600,ANGLET,64024,,+33 6 35 28 69 00,sanchez.remy@yahoo.fr,https://angletsurfocean.com,-1.5436808000000002,43.499579600000004,Oui,"
",Surf # Surf # Surf # Surf # Bodyboard # Bodyboard # Bodyboard # Bodyboard,,,,28/01/2020|25/11/2020|||||,"Tarif de base|40,00||",,,,
ASCAQU033FS000JU,15/01/2020,Activité sportive,Aola Surf School,,,2 place de la Concorde,,33680,LACANAU,33214,+33 5 56 03 53 72,+33 6 60 21 99 99,aolasurf@gmail.com,http://www.aolasurfschool.com,-1.2008196000000002,44.9941641,Oui,"
",Surf,,,,01/04/2020|31/10/2020|||||,"Tarif de base|28,00|32,00|Cours de 2h # Tarif de base|130,00|150,00|Semaine 5 x 2 heures",,,,
ASCAQU033V500OQQ,03/01/2020,Activité sportive,APC Kite,,,Plage La Salie Nord,Route de Biscarrosse,33115,LA TESTE-DE-BUCH,33529,+33 5 56 54 93 71,+33 6 71 72 40 19,bureauapckite@gmail.com,http://www.apckite.com,-1.235514,44.5234596,Oui,"
",Kite-surf # Kite-surf,,,,01/01/2020|31/12/2020|||||,,,,,
ASCAQU033V503IGE,03/01/2020,Activité sportive,APC Kite,,Maison des Associations,51 cours Tartas,,33120,ARCACHON,33009,,+33 6 52 31 82 21,bureauapckite@gmail.com,http://apckite.com/,-1.1480712,44.6585191,Oui,"
",Kite-surf,,,,01/01/2020|31/12/2020|||||,,,,,
ASCAQU040V5009J4,03/01/2020,Activité sportive,Aqua Loisirs,,,Route des Campings,,40160,PARENTIS-EN-BORN,40217,,+33 7 68 81 48 10,aqualoisirsfrance@gmail.com,https://www.oxoon.net,-1.103742,44.347367,,"
",Motonautisme (bateau à moteur),,,,,,,,,
ASCAQU040V50KX0C,03/01/2020,Activité sportive,Aqui Bikes,,,Chemin de Navarrosse,Port de Navarrosse,40600,BISCARROSSE,40217,+33 6 51 31 21 01,,contact@aquibikes.com,http://aquibikes.com/,-1.1672934,44.432112700000005,Oui,"
",Stand-up-paddle-board # VTT,,,,28/03/2020|01/11/2020|||||,"Tarif de base|||Location 1 heure, sortie libre sur le lac # Tarif de base|||Location 2 heures, sortie libre sur le lac # Tarif de base|||Sortie accompagnée 1/2 journée Dune du Pilat",,,,
ASCAQU033V50TM9H,23/01/2020,Activité sportive,Aquitaine Pêches Sportives,,,,,33510,ANDERNOS-LES-BAINS,33005,,+33 6 72 74 06 91,contact@aquitaine-peches-sportives.fr,https://www.aquitaine-peches-sportives.fr,-1.100039,44.743736,Oui,"
",Pêche en mer # Pêche,,,,01/04/2020|15/11/2020|||||,"Tarif de base|90,00|225,00|",,,,
ASCAQU033FS000HJ,03/01/2020,Activité sportive,Arca-boat,,,6 rue des Marins ,Petit Port de Plaisance,33120,ARCACHON,33009,+33 5 56 83 62 91,+33 6 81 09 70 03 # +33 6 07 46 14 62,,http://www.location-bateaux-arcachon.net,-1.1434364,44.6568096,Oui,"
",Motonautisme (bateau à moteur),,,,01/01/2020|31/12/2020|||||,,,,,
ASCAQU033V50273B,03/01/2020,Activité sportive,Arcachon découverte,,,Rue des Marins,Port de Plaisance,33120,ARCACHON,33009,,+33 6 86 92 60 50,bms33@hotmail.fr,http://www.arcachondecouverte.fr/,-1.1528604,44.660245399999994,Oui,"
",Catamaran # Voile # Motonautisme (bateau à moteur),,,,01/04/2020|09/11/2020|||||,"Tarif de base|26,00|35,00|individuel tour 2h30 # Tarif de groupe|275,00|650,00|",,,Accessible en poussette # Restauration,
ASCAQU033FS000LA,03/01/2020,Activité sportive # Formule itinérante,Arcachon Equipages,,,6 rue de Joigny,,33120,ARCACHON,33009,+33 9 62 58 86 96,+33 6 80 25 72 38,arcachonequipages@hotmail.fr,http://www.arcachonequipages.com # http://www.arcachonequipages.com/seminaires-comite-entreprise.html,-1.1446379999999998,44.658030600000004,Oui,"
",Voile # Motonautisme (bateau à moteur) # Stand-up-paddle-board # Motonautisme (bateau à moteur) # Wake board,Voiliers habitables # Bateaux à moteur habitables,,,01/03/2020|31/12/2020|||||,"Tarif de base|95,00|160,00|Location bateau taxi avec skipper # Tarif de base|600,00|1800,00|Location bateau journée # Tarif de groupe|350,00|600,00|Location bateau 1/2 journée",,,,Location de vélos # Location de vélos aller-simple
ASCAQU033FS0008U,03/01/2020,Activité sportive,Arcachon Marine,,1 Pôle Nautisme,Quai Goslar,Port de Plaisance,33120,ARCACHON,33009,+33 5 57 72 23 23,,am@motorloisirs.com,http://www.motorloisirs.com,-1.1441700000000001,44.656704,Oui,"
",Motonautisme (bateau à moteur) # Bouées tractées # Quad # Jet-ski,,,,01/01/2020|31/12/2020|||||,,,,,
ASCAQU040FS000A2,03/01/2020,Activité sportive,Arjuzanx loisirs Nautiques,Mairie,,,,40110,MORCENX-LA-NOUVELLE,40197,,+33 6 80 16 74 59,,,-0.8375239999999999,44.020571000000004,Oui,"
",Canoé kayak # Planche à voile # Stand-up-paddle-board,,,,,,,,,
ASCAQU064FS0005S,03/01/2020,Activité sportive,"Arteka Ocean - Centre multiglisse, sport, nature, bien-être",,Chai n°32,Rue des Orangers,,64700,HENDAYE,64260,+33 5 59 20 60 02,+33 6 07 05 49 95,info@arteka-ocean.com,http://www.arteka-ocean.com,-1.778232,43.3696805,Oui,"
",Kayak de mer # Kayak de mer # Kayak de mer # Kayak de mer # Kayak de mer # Stand-up-paddle-board # Stand-up-paddle-board # Stand-up-paddle-board # Stand-up-paddle-board # Pirogue # Pirogue # Pirogue # Pirogue # Wave-ski # Wave-ski # Wave-ski # Wave-ski,,,,,Tarif de base|||Balade,,,,
ASCAQU064V59TVNJ,03/01/2020,Activité sportive,Artha Surf Club,Camping municipal,Plage d'Erromardie,525 chemin de Chibau Berria,,64500,SAINT-JEAN-DE-LUZ,64483,,+33 6 35 22 11 33,arthasurf@gmail.com,https://www.arthasurfclub.fr,-1.6363136999999999,43.408220299999996,Non,"
",Surf,,,,,,,,,
ASCAQU04001K7GHK,03/01/2020,Activité sportive,Association Vieux Boucau Surf Club,,,,Plage des sablères ,40480,VIEUX-BOUCAU,40328,+33 5 58 48 30 70,,info@surfclub-vieuxboucau.com,http://www.surfclub-vieuxboucau.com,-1.4126658,43.7925657,Oui,"
",Surf # Surf # Surf # Surf,,,Ecole Française de Surf,30/03/2020|15/11/2020|||||,Tarif de base|||1h30 de cours pour 1 adulte  # Tarif réduit|||séance découverte enfant moins de 10 ans # Tarif de groupe|||sur demande,,,,
ASCAQU033FS000OC,03/01/2020,Activité sportive,AST Char à Voile,,,Plage de la Salie Nord,,33115,LA TESTE-DE-BUCH,33529,,+33 6 67 32 51 31,ast.buggycharavoile@gmail.com,http://ast.charavoile.free.fr,-1.2462615,44.4857291,Oui,"
",Char à voile # Cerf volant,,,,01/01/2020|31/12/2020|||||,,,,,
ASCAQU064FS000J1,03/01/2020,Activité sportive,Atlantic Pirogue,,,43 avenue du Commandant Passicot,Socoa,64500,CIBOURE,64189,+33 5 59 47 21 67,,contact@atlantic-pirogue.com,http://www.atlantic-pirogue.com,-1.6851639999999999,43.3939547,Non,"
",Pirogue # Kayak de mer # Stand-up-paddle-board # Wave-ski # Kayak de mer,,,,01/01/2020|18/12/2020|||||,"Tarif de base|5,00|52,00|",,,,
ASCAQU064FS000JT,03/01/2020,Activité sportive,Atlantic Pirogue,,Magasin Water Sports Center,Quai de la Floride,,64700,HENDAYE,64260,+33 5 59 47 21 67,+33 7 60 36 64 64,contact@atlantic-pirogue.com,http://www.atlantic-pirogue.com,-1.7814601000000003,43.367765399999996,Oui,"
",Pirogue # Pirogue # Pirogue # Pirogue # Pirogue # Pirogue # Wave-ski # Wave-ski # Wave-ski # Wave-ski # Wave-ski # Wave-ski # Wave-ski # Wave-ski # Kayak de mer # Kayak de mer # Kayak de mer # Kayak de mer # Kayak de mer # Kayak de mer # Kayak de mer # Kayak de mer # Stand-up-paddle-board # Stand-up-paddle-board # Stand-up-paddle-board # Stand-up-paddle-board # Stand-up-paddle-board # Stand-up-paddle-board # Stand-up-paddle-board # Stand-up-paddle-board,,,,06/01/2020|18/12/2020|||||,"Tarif de base|26,00|32,00|2h en stand up paddle, pirogue hawaïenne ou kayak de mer",,,Accessible en poussette # Aire de pique-nique # Parking # Restauration,
ASCAQU040V50K3Y6,03/01/2020,Activité sportive,Atlantic Surf Lodge,,,7 Rue du Pignadar,,40480,VIEUX-BOUCAU,40328,+33 5 58 48 31 37,+33 6 08 92 18 29,uli@atlantic-surflodge.com,http://atlantic-surflodge.com/fr/,-1.3919451,43.7894047,Non,"
",Surf,,,,01/04/2020|30/04/2020|||||,,,,,
ASCAQU04001SQMQY,03/01/2020,Activité sportive,Au fil de l'eau - Base de loisirs nautiques,,,Plage du Lac à Vielle,,40560,VIELLE-SAINT-GIRONS,40326,,+33 6 62 69 88 60,contact@aufildeleau40.fr,http://aufildeleau40.fr,-1.3102053999999999,43.9010156,Oui,"
",Canoé kayak # Surf bike # Stand-up-paddle-board # Motonautisme (bateau à moteur),,,,01/04/2020|30/09/2020|||||,"Tarif de base|8,00|140,00|cours",,,,
ASCAQU040V50NOVW,03/01/2020,Activité sportive,Au fil de l'eau - Ecole de surf,,,Plage du Lac à Vielle,,40560,VIELLE-SAINT-GIRONS,40326,,+33 6 62 69 88 60,contact@aufildeleau40.fr,http://aufildeleau40.fr,-1.3102053999999999,43.9010156,Oui,"
",Surf # Surf,,,,01/04/2020|30/09/2020|||||,,,,,
ASCAQU040V50NOW1,03/01/2020,Activité sportive,Au fil de l'eau -Ecole de voile,,,Plage du Lac à Vielle,,40560,VIELLE-SAINT-GIRONS,40326,,+33 6 62 69 88 60,contact@aufildeleau40.fr,http://aufildeleau40.fr,-1.3102053999999999,43.9010156,Oui,"
",Sport à voile # Sport à voile,,,,01/04/2020|30/09/2020|||||,"Tarif de base|8,00|140,00|cours",,,,
LOIAQU0240005287,30/01/2020,Base de loisirs # Jeux pour enfants # Lac/Site de pêche # Mini-golf # Parc à thèmes # Parc aquatique # Piscine # Plage surveillée,Aux Etangs du Bos,,,,Le Bos,24260,SAINT-CHAMASSY,24388,+33 5 53 54 74 60,+33 7 68 01 81 46,contact@le-bos.com,http://www.le-bos.com,0.97049215,44.867918599999996,Oui,"
",,,,,13/06/2020|30/08/2020|11:00|20:00|||,"Tarif de base|10,00|10,00|Adultes et enfants de plus de 16 ans # Tarif de base|9,00|9,00|Enfant de moins de 16 ans # Gratuit|||Enfant de moins de 90 cms # Tarif de groupe|7,00|9,00|TARIF GROUPE PLUS DE 10 PERSONNES",,,Aire de pique-nique # Restauration,Espace jeux
ASCAQU033V50KA3J,03/01/2020,Activité sportive,Aventura Gliss,,,Plage du Pôle de Maubuisson,,33121,CARCANS,33097,,+33 7 67 91 89 11,aventuragliss@gmail.com,https://www.aventuragliss.com/,-1.1405153000000001,45.07092120000001,Oui,"
",Ski nautique # Wake board,,,,01/01/2020|31/12/2020|09:00|||20:30|,"Tarif de base|15,00|45,00|1 session (tarifs selon disciplines pratiquées) # Tarif de base|35,00||1 initiation adulte",,,,
ASCAQU040FS0004F,03/01/2020,Activité sportive,Azur Nautique Voile,,,42 route des Campings,Plage du Lac,40140,AZUR,40021,,+33 6 78 16 86 79,,,-1.3074964,43.7844255,Oui,"
",Canoé kayak # Planche à voile # Planche à voile # Voile # Voile # Catamaran # Sport à voile,,,,,Tarif de base|||Cours particulier d'une heure de planche à voile # Tarif de base|||Cours particulier pour 1h en voilier pour 1 ou 2 personne(s) # Tarif de base|||Location de pédalo pour 1 heure # Tarif de base|||Location de canöé et barque pour 1 heure,,,,
ASCAQU064V50FGRO,21/01/2020,Activité sportive,BAB Subaquatique,,,1 A allée Port de Pêcheurs,,64200,BIARRITZ,64122,+33 5 59 24 80 40,+33 6 09 26 22 65,contact@babsub.fr,http://www.babsubaquatique.fr,-1.5666959999999999,43.4832283,Oui,"
",Plongée,,,,01/04/2020|01/11/2020|||||,"Tarif de base|15,00|15,00|Tarif adhésion annuel # Tarif de base|11,00|40,00|Licence # Tarif de base|5,00|300,00|Plongée exploration # Tarif de base|6,00|70,00|Location de matériel # Tarif de base|40,00|550,00|Formation plongée et apnée # Tarif de groupe|||10 % de remise à partir de 5 personnes",,,,
ASCAQU024V50280V,03/01/2020,Activité sportive,Babyski nautique,,,,Etang de Saint-Saud-Lacoussiere,24470,SAINT-SAUD-LACOUSSIERE,24498,,+33 6 73 80 37 23,babyski@orange.fr,http://skiperigord.fr,0.81757263,45.544123600000006,Oui,"
",Ski nautique # Bouées tractées,,,,,,,,,
LOIAQU033FS000BI,06/01/2020,Plage surveillée,Baignade aménagée au Teich,,,A proximité du Port du Teich,,33470,LE TEICH,33527,+33 5 56 22 33 60,,contact@leteich.fr,http://leteich.fr # http://www.leteich-tourisme.com,-1.0151194,44.6403532,Oui,"
",,,,,01/01/2020|31/12/2020|||||,,,,Aire de pique-nique,Espace jeux # Wifi
LOIAQU047FS000BO,21/01/2020,Base de loisirs # Jeux pour enfants # Mini-golf # Plage surveillée,Baignade naturelle à Parc en Ciel,,,,Moulin de Courrance,47150,LACAPELLE-BIRON,47123,+33 5 53 71 84 58,,parc-en-ciel@orange.fr # contact@parc-en-ciel.com,http://www.parc-en-ciel.com,0.88425993,44.5910631,Oui,"
",,,,Qualité Tourisme # Sourire du Lot-et-Garonne,,,,,Aire de pique-nique # Bar # Restauration,Espace jeux
ASCAQU033V50CZJQ,23/01/2020,Activité sportive,Balade en catamaran,,Ti'Bassin,Quai Lahillon,Port Ostréicole,33510,ANDERNOS-LES-BAINS,33005,,+33 6 62 82 42 17,didierz.meynard@orange.fr,https://www.tibassin-andernos.com/,-1.1069443,44.74340170000001,Oui,"
",Catamaran,,,,01/04/2020|30/09/2020|||||,"Tarif de base|33,00||Tour de l'Ile aux oiseaux # Tarif de base|68,00||Banc d'Arguin",,,,
ASCAQU033V50R1KB,07/01/2020,Activité sportive,Balade en Paddle ,Club de plage les Marsouins,,Avenue de la Plage du Betey,,33510,ANDERNOS-LES-BAINS,33005,+33 5 56 82 02 95,+33 6 88 71 70 02,nicolobassin@gmail.com,,-1.090537,44.73531,Oui,"
",Stand-up-paddle-board,,,,01/01/2020|31/12/2020|||||,"Tarif de base|25,00||Initiation d'1h30 # Tarif de base|35,00||Balade avec dégustation au port ostréicole (2h) # Tarif de base|10,00||Location de paddle",,,,
ASCAQU033FS00143,03/02/2020,Activité sportive,Balade naturaliste en kayak de mer,,Office de Tourisme Coeur du Bassin,1 route du Stade,,33138,LANTON,33229,+33 5 57 70 67 56,,info@tourisme-coeurdubassin.com,http://www.tourisme-coeurdubassin.com,-1.0606956,44.714797,Oui,"
",Kayak de mer,,,,01/04/2020|31/08/2020|||||,Tarif réduit|||pour les jeunes de 10 à 16 ans # Tarif de groupe|||tarif famille (2 adultes et 1 ou 2 ou 3 jeunes ou 1 adulte et 2 ou 3 jeunes) # Tarif de base|||tarif adulte,,,,
ASCAQU033FS00176,03/01/2020,Activité sportive,Banana Surf School,,,16 boulevard de la Plage,,33680,LACANAU,33214,,+33 6 12 36 22 27,bananalacanau@gmail.com,http://www.lacanau-surf.fr,-1.20113,45.0053756,Oui,"
",Surf,,,Ecole Française de Surf,01/04/2020|23/11/2020|09:00|||19:00|,"Tarif de base|135,00||Formule 5x2h # Tarif de base|60,00||Cours particulier 1h",,,,
